City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,teknaf,20.8624,92.3058,300.98,84,99,4.34,BD,1686622836
1,ilulissat,69.2167,-51.1,275.16,75,75,0.0,GL,1686622837
2,souq larb'a al gharb,34.6866,-6.0027,293.04,82,69,0.91,MA,1686622837
3,susuman,62.7833,148.1667,287.63,73,100,3.63,RU,1686622837
4,balqash,46.8481,74.995,294.48,24,0,10.0,KZ,1686622838
5,port-aux-francais,-49.35,70.2167,279.4,89,100,13.89,TF,1686622838
6,kailua-kona,19.6406,-155.9956,301.13,86,40,4.63,US,1686622838
7,adamstown,-25.066,-130.1015,293.56,64,28,3.45,PN,1686622839
8,college,64.8569,-147.8028,290.7,44,75,7.72,US,1686622839
9,edinburgh of the seven seas,-37.0676,-12.3116,288.25,90,100,8.37,SH,1686622840
10,yellowknife,62.456,-114.3525,280.44,70,75,3.09,CA,1686622604
11,kirensk,57.7853,108.1119,288.06,36,100,6.07,RU,1686622840
12,isangel,-19.55,169.2667,299.21,65,100,2.06,VU,1686622841
13,coahuayana de hidalgo,18.7,-103.6583,298.96,78,13,1.46,MX,1686622841
14,ishigaki,24.3448,124.1572,299.22,100,75,8.23,JP,1686622841
15,hawaiian paradise park,19.5933,-154.9731,301.88,74,0,0.89,US,1686622842
16,ta`u,-14.2336,-169.5144,300.75,74,43,7.47,AS,1686622842
17,lebu,-37.6167,-73.65,281.01,74,0,6.29,CL,1686622694
18,bredasdorp,-34.5322,20.0403,287.1,73,67,11.33,ZA,1686622843
19,ushuaia,-54.8,-68.3,277.96,75,20,10.8,AR,1686622768
20,invercargill,-46.4,168.35,284.66,83,72,1.82,NZ,1686622826
21,serenje,-13.2325,30.2352,285.68,62,73,1.29,ZM,1686622844
22,soe,-9.8607,124.284,297.96,43,83,3.99,ID,1686622844
23,sanandaj,35.3144,46.9923,286.16,58,0,2.06,IR,1686622844
24,grytviken,-54.2811,-36.5092,270.54,85,94,4.04,GS,1686622576
25,ribeira grande,38.5167,-28.7,291.91,97,8,0.89,PT,1686622583
26,klyuchi,52.2667,79.1667,290.79,64,16,4.15,RU,1686622845
27,amga,60.8953,131.9608,276.9,96,100,1.84,RU,1686622846
28,bilibino,68.0546,166.4372,281.93,88,100,7.1,RU,1686622846
29,bereeda,11.8704,51.0579,303.82,59,100,3.02,SO,1686622847
30,wailua homesteads,22.0669,-159.378,300.39,79,20,6.69,US,1686622595
31,kruisfontein,-34.0033,24.7314,283.64,69,86,4.82,ZA,1686622847
32,vorgashor,67.5833,63.95,280.26,57,100,5.0,RU,1686622848
33,olonkinbyen,70.9221,-8.7187,275.2,87,100,8.86,SJ,1686622848
34,sovetskiy,61.3614,63.5842,282.48,47,6,2.31,RU,1686622756
35,puerto natales,-51.7236,-72.4875,274.86,96,100,1.96,CL,1686622849
36,saipan,15.1355,145.701,304.54,100,40,5.66,MP,1686622849
37,badger,64.8,-147.5333,290.66,43,100,7.72,US,1686622850
38,sitka,57.0531,-135.33,285.09,62,75,6.17,US,1686622850
39,anadyr,64.75,177.4833,290.43,48,0,3.0,RU,1686622851
40,pau brasil,-15.4642,-39.6511,291.79,98,9,0.59,BR,1686622851
41,kingston,17.997,-76.7936,301.68,76,20,6.69,JM,1686622578
42,talnakh,69.4865,88.3972,281.6,73,97,1.83,RU,1686622852
43,albany,42.6001,-73.9662,293.89,80,100,0.45,US,1686622852
44,port alfred,-33.5906,26.891,286.81,66,100,6.32,ZA,1686622853
45,hadibu,12.65,54.0333,301.24,81,100,9.82,YE,1686622853
46,lisala,2.15,21.5167,293.83,99,30,1.16,CD,1686622854
47,sao tome,0.3365,6.7273,298.54,84,63,2.81,ST,1686622855
48,ongjin,37.9347,125.3619,294.45,66,13,2.73,KP,1686622855
49,hermanus,-34.4187,19.2345,289.15,86,100,13.14,ZA,1686622856
50,avarua,-21.2078,-159.775,299.18,83,100,7.72,CK,1686622856
51,nahiyat ash shinafiyah,31.5874,44.6602,306.19,21,0,4.84,IQ,1686622856
52,howard springs,-12.497,131.047,303.61,30,100,4.68,AU,1686622857
53,noosa heads,-26.3833,153.15,297.23,76,1,2.28,AU,1686622753
54,sisimiut,66.9395,-53.6735,272.68,86,21,3.05,GL,1686622858
55,pignon,19.3333,-72.1167,297.2,91,18,1.57,HT,1686622858
56,waitangi,-43.9535,-176.5597,284.16,89,94,1.34,NZ,1686622576
57,saudarkrokur,65.7461,-19.6394,282.08,81,9,3.01,IS,1686622858
58,tevriz,57.509,72.4042,284.03,55,92,2.41,RU,1686622859
59,bunia,1.5667,30.25,290.01,89,90,0.68,CD,1686622859
60,jinchang,38.4953,102.1739,298.66,17,0,4.03,CN,1686622860
61,port mathurin,-19.6833,63.4167,297.9,71,4,6.74,MU,1686622860
62,blackmans bay,-43.0167,147.3167,285.22,78,100,3.42,AU,1686622860
63,constantia,44.1833,28.65,285.76,84,38,6.93,RO,1686622861
64,vilyuchinsk,52.9306,158.4028,297.3,46,0,1.56,RU,1686622861
65,san antonio de pale,-1.4014,5.6325,297.46,89,99,3.4,GQ,1686622862
66,caribou,46.8606,-68.012,293.39,69,0,2.57,US,1686622862
67,al bardiyah,31.7561,25.0865,294.02,87,0,3.75,LY,1686622862
68,namtsy,62.7161,129.6658,282.47,57,100,2.98,RU,1686622863
69,nova sintra,14.8667,-24.7167,294.31,85,100,9.43,CV,1686622580
70,gurupi,-11.7292,-49.0686,297.89,45,1,0.58,BR,1686622863
71,simanggang,1.2472,111.4528,303.14,79,20,1.54,MY,1686622864
